page,price,location,alapterulet,szobak,erkely
112,250 094 Ft/hó,"Budapest VI. kerület, Szinyei Merse utca",55 m2,2,
112,400 000 Ft/hó,"Budapest I. kerület, Számadó utca",57 m2,2,4 m2
112,350 000 Ft/hó,"Budapest VI. kerület, Bajcsy-Zsilinszky út",63 m2,2,
112,384 760 Ft/hó,"Budapest VII. kerület, Holló utca",54 m2,2,
112,260 000 Ft/hó,"Budapest XIII. kerület, Kresz Géza utca",60 m2,3,
112,269 332 Ft/hó,"Budapest IX. kerület, Dandár utca",33 m2,1,
112,205 000 Ft/hó,"Budapest III. kerület, Szentendrei út",51 m2,2,3 m2
112,270 000 Ft/hó,"Budapest II. kerület, Bajvívó utca 5.",53 m2,2,
112,350 000 Ft/hó,"Budapest VI. kerület, Andrássy út",64 m2,2,
112,375 000 Ft/hó,"Budapest II. kerület, Endrődi Sándor utca",71 m2,3,5 m2
112,461 712 Ft/hó,"Budapest V. kerület, Ferenciek tere 5.",110 m2,3,
112,190 000 Ft/hó,"Budapest I. kerület, Hegyalja út 23.",30 m2,1,2 m2
112,280 000 Ft/hó,"Budapest XIII. kerület, Csavargyár utca",38 m2,1 + 1 fél,8 m2
112,280 000 Ft/hó,"Budapest XIII. kerület, Katona József utca 26.",63 m2,3,10 m2
112,461 712 Ft/hó,"Budapest I. kerület, Csap utca 5.",79 m2,3,3 m2
112,400 000 Ft/hó,"Budapest XI. kerület, Bartók Béla út",100 m2,4,2 m2
113,210 000 Ft/hó,"Budapest VI. kerület, Szív utca",42 m2,1,
113,225 000 Ft/hó,"Budapest IX. kerület, Lónyay utca",31 m2,1,
113,731 044 Ft/hó,"Budapest XIII. kerület, Vizafogó - Marinapart",76 m2,3,25 m2
113,769 520 Ft/hó,"Budapest VI. kerület, Káldy Gyula utca",80 m2,3,25 m2
113,346 284 Ft/hó,"Budapest XIII. kerület, Tisza utca 18.",95 m2,3,
113,185 000 Ft/hó,"Budapest I. kerület, Batthyány utca",30 m2,1,
113,330 000 Ft/hó,"Budapest XIV. kerület, Alsórákos",50 m2,3,6 m2
113,200 000 Ft/hó,"Budapest IV. kerület, Farkaserdő utca",36 m2,1,
113,1 380 000 Ft/hó,"Budapest V. kerület, Dorottya utca",140 m2,2,8 m2
113,180 000 Ft/hó,"Budapest IX. kerület, Telepy utca 28.",44 m2,1,
113,270 000 Ft/hó,"Budapest I. kerület, Gellérthegy utca",41 m2,1 + 1 fél,2 m2
113,220 000 Ft/hó,"Budapest VII. kerület, Király utca",50 m2,1,5 m2
113,210 000 Ft/hó,"Budapest VII. kerület, Damjanich utca",45 m2,1 + 1 fél,
113,259 999 Ft/hó,"Budapest XIII. kerület, Thurzó utca",46 m2,2,2 m2
113,490 000 Ft/hó,"Budapest XI. kerület, Csorbai utca",130 m2,5,20 m2
113,260 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány",31 m2,1,4 m2
113,250 000 Ft/hó,"Budapest I. kerület, Krisztinaváros",30 m2,1,16 m2
113,180 000 Ft/hó,"Budapest IX. kerület, Páva utca",27 m2,1,
113,225 000 Ft/hó,"Budapest XII. kerület, Galgóczy utca",53 m2,2,6 m2
113,350 000 Ft/hó,"Budapest VI. kerület, Andrássy út",62 m2,2,
114,400 000 Ft/hó,"Budapest XI. kerület, Gellérthegy",85 m2,3,17 m2
114,1 096 566 Ft/hó,"Budapest V. kerület, Petőfi tér 3.",143 m2,4,6 m2
114,577 140 Ft/hó,"Budapest II. kerület, Gárdonyi Géza út",95 m2,3,
114,350 000 Ft/hó,"Budapest VI. kerület, Teréz körút",88 m2,3,6 m2
114,220 000 Ft/hó,"Budapest VIII. kerület, Dankó utca 10-14.",26 m2,1,4 m2
114,300 000 Ft/hó,"Budapest VIII. kerület, József körút",127 m2,3,
114,519 426 Ft/hó,"Budapest XI. kerület, Bíró László József körút",77 m2,3,30 m2
114,1 346 660 Ft/hó,"Budapest II. kerület, Rézmál",190 m2,6,
114,300 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány",42 m2,1 + 1 fél,4 m2
114,385 000 Ft/hó,"Budapest XIII. kerület, Teve utca",72 m2,3,10 m2
114,295 000 Ft/hó,"Budapest XII. kerület, Beethoven utca",65 m2,2,2 m2
114,950 000 Ft/hó,"Budapest II. kerület, Hárshegyi út",246 m2,6 + 1 fél,
114,520 000 Ft/hó,"Budapest VIII. kerület, Bródy Sándor utca",89 m2,3,
114,290 000 Ft/hó,"Budapest VII. kerület, Dob utca",40 m2,2,
114,384 760 Ft/hó,"Budapest II. kerület, Gábor Áron utca",70 m2,3,
114,349 000 Ft/hó,"Budapest XVIII. kerület, Üllői út",120 m2,2,20 m2
114,270 000 Ft/hó,"Budapest II. kerület, Pasaréti út",53 m2,2,5 m2
114,550 000 Ft/hó,"Budapest III. kerület, Királylaki út",150 m2,4,
114,577 140 Ft/hó,"Budapest I. kerület, Lánchíd utca 15-17.",97 m2,2,2 m2
114,260 000 Ft/hó,"Budapest VI. kerület, Paulay Ede utca",52 m2,2,
115,288 570 Ft/hó,"Budapest XIII. kerület, Lőportár köz",50 m2,2,8 m2
115,200 000 Ft/hó,"Budapest IX. kerület, Ferenc körút",25 m2,1,
115,260 000 Ft/hó,"Budapest I. kerület, Mikó utca 14.",40 m2,1,4 m2
115,577 140 Ft/hó,"Budapest XII. kerület, Szamóca utca",131 m2,4,17 m2
115,1 115 804 Ft/hó,"Budapest II. kerület, Csatárka",150 m2,4,20 m2
115,450 000 Ft/hó,"Budapest II. kerület, Bem rakpart",70 m2,2,2 m2
115,340 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány",44 m2,2,20 m2
115,180 000 Ft/hó,"Budapest XIII. kerület, Angyalföld",45 m2,1 + 1 fél,4 m2
115,270 000 Ft/hó,"Budapest VI. kerület, Vörösmarty utca 44.",74 m2,3,
115,270 000 Ft/hó,"Budapest II. kerület, Pasaréti út",54 m2,2,3 m2
115,230 000 Ft/hó,"Budapest XIV. kerület, Fűrész utca",47 m2,2,5 m2
115,399 000 Ft/hó,"Budapest VI. kerület, Andrássy út",49 m2,2,
115,349 000 Ft/hó,"Budapest XVIII. kerület, Üllői út",120 m2,2,20 m2
115,692 568 Ft/hó,"Budapest VI. kerület, Bajza utca",100 m2,3,3 m2
115,500 188 Ft/hó,"Budapest II. kerület, Törökvész",130 m2,3,160 m2
115,350 000 Ft/hó,"Budapest XI. kerület, Beléndek utca",58 m2,3,14 m2
115,235 000 Ft/hó,"Budapest I. kerület, Széna tér",45 m2,1,2.5 m2
115,189 000 Ft/hó,"Budapest VIII. kerület, Hock János utca",39 m2,1,
115,270 000 Ft/hó,"Budapest I. kerület, Szabó Ilonka utca 61.",52 m2,2,
115,673 330 Ft/hó,"Budapest II. kerület, Törökvész",75 m2,3,15 m2
116,360 000 Ft/hó,"Budapest V. kerület, Belváros",70 m2,2,
116,330 000 Ft/hó,"Budapest XI. kerület, Kelenföld",55 m2,2,5 m2
116,240 000 Ft/hó,"Budapest XI. kerület, Irinyi József utca",39 m2,1 + 1 fél,
116,210 000 Ft/hó,"Budapest XIV. kerület, Erzsébet királyné útja",39 m2,1 + 1 fél,
116,225 000 Ft/hó,"Budapest XXI. kerület, II. Rákóczi Ferenc út",50 m2,2,10 m2
116,550 000 Ft/hó,"Budapest V. kerület, Petőfi Sándor utca",81 m2,2,
116,260 000 Ft/hó,"Budapest I. kerület, Krisztinaváros",44 m2,2,
116,300 000 Ft/hó,"Budapest XI. kerület, Bercsényi utca",49 m2,2,4 m2
116,1 269 708 Ft/hó,"Budapest IX. kerület, Lechner Ödön fasor 2.",136 m2,3,130 m2
116,350 000 Ft/hó,"Budapest V. kerület, Széchenyi utca",53 m2,2 + 1 fél,
116,1 635 230 Ft/hó,"Budapest VI. kerület, Andrássy út",192 m2,4,
116,850 000 Ft/hó,"Budapest XIII. kerület, Viza utca",120 m2,3 + 1 fél,80 m2
116,210 000 Ft/hó,"Budapest XIV. kerület, Francia út",50 m2,1 + 1 fél,
116,253 942 Ft/hó,"Budapest XIV. kerület, Izsó utca",110 m2,2,
116,615 616 Ft/hó,"Budapest V. kerület, Nádor utca 19.",120 m2,4,2 m2
116,140 000 Ft/hó,"Budapest VIII. kerület, Krúdy utca 20.",18 m2,1,
116,799 000 Ft/hó,"Budapest V. kerület, Vigyázó Ferenc utca",75 m2,2 + 1 fél,
116,790 000 Ft/hó,"Budapest II. kerület, Vérhalom",157 m2,6,26 m2
116,500 000 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros - Rehabilitációs terület",97 m2,3,2 m2
116,370 000 Ft/hó,"Budapest I. kerület, Donáti utca",67 m2,3,5 m2
117,269 332 Ft/hó,"Budapest XIII. kerület, Rozsnyay utca 20.",40 m2,2,2 m2
117,538 664 Ft/hó,"Budapest V. kerület, Alkotmány utca",60 m2,1 + 1 fél,
117,480 950 Ft/hó,"Budapest XI. kerület, Eper utca",76 m2,3,15 m2
117,390 000 Ft/hó,"Budapest XI. kerület, Királyleányka utca",63 m2,3,13 m2
117,500 188 Ft/hó,"Budapest II. kerület, Budakeszi út 77.",107 m2,3,7 m2
117,884 948 Ft/hó,"Budapest II. kerület, Törökvész",134 m2,4,
117,538 664 Ft/hó,"Budapest VI. kerület, Andrássy út",60 m2,3,
117,346 284 Ft/hó,"Budapest III. kerület, Folyamőr utca",48 m2,2,
117,365 522 Ft/hó,"Budapest V. kerület, Egyetem tér",70 m2,2,
117,577 140 Ft/hó,"Budapest V. kerület, Nagy Ignác utca 16.",80 m2,3,
117,195 000 Ft/hó,"Budapest VI. kerület, Podmaniczky utca",43 m2,1,
117,692 568 Ft/hó,"Budapest V. kerület, Semmelweis utca 4.",138 m2,4,6 m2
117,200 000 Ft/hó,"Budapest I. kerület, Naphegy utca",18 m2,1,
117,1 346 660 Ft/hó,"Budapest II. kerület, Nyék",200 m2,4,30 m2
117,330 000 Ft/hó,"Budapest I. kerület, Víziváros",73 m2,3,
117,250 000 Ft/hó,"Budapest VII. kerület, Nefelejcs utca 65.",56 m2,2,
117,250 094 Ft/hó,"Budapest VIII. kerület, Bródy Sándor utca",33 m2,1 + 1 fél,
117,449 000 Ft/hó,"Budapest VII. kerület, Belső-Erzsébetváros",103 m2,3,
117,220 000 Ft/hó,"Budapest VI. kerület, Izabella utca 50.",76 m2,2,
117,330 000 Ft/hó,"Budapest XII. kerület, Alkotás utca",89 m2,2 + 1 fél,
118,700 000 Ft/hó,"Budapest II. kerület, Lévay utca",110 m2,4,
118,300 000 Ft/hó,"Budapest I. kerület, Márvány utca",44 m2,2,
118,790 000 Ft/hó,"Budapest XII. kerület, Dolgos utca",95 m2,3 + 1 fél,
118,800 000 Ft/hó,"Budapest II. kerület, Bimbó út",130 m2,4,2 m2
118,230 000 Ft/hó,"Budapest VIII. kerület, Illés utca",30 m2,1,2 m2
118,200 000 Ft/hó,"Budapest XXI. kerület, Csepel-Erdőalja",55 m2,2,
118,240 000 Ft/hó,"Budapest VII. kerület, Cserhát utca 22.",59 m2,2,
118,330 000 Ft/hó,"Budapest VIII. kerület, Baross utca 109.",113 m2,3,
118,327 046 Ft/hó,"Budapest II. kerület, Tölgyfa utca",95 m2,3,1 m2
118,215 000 Ft/hó,"Budapest XIII. kerület, Vizafogó",40 m2,2,
118,235 000 Ft/hó,"Budapest I. kerület, Széna tér",45 m2,1 + 1 fél,2 m2
118,654 092 Ft/hó,"Budapest V. kerület, Belváros",94 m2,3 + 1 fél,8 m2
118,280 000 Ft/hó,"Budapest VII. kerület, Tivadar utca",70 m2,2,
118,200 000 Ft/hó,"Budapest XIII. kerület, Gidófalvy Lajos utca",35 m2,1,
118,285 000 Ft/hó,"Budapest III. kerület, Folyamőr utca 7.",27 m2,1,3.5 m2
118,296 265 Ft/hó,"Budapest II. kerület, Ady Endre utca",53 m2,2,15 m2
118,1 154 280 Ft/hó,"Budapest II. kerület, Törökvész",130 m2,4,150 m2
118,299 000 Ft/hó,"Budapest I. kerület, Hegyalja út 23.",32 m2,1,
118,390 000 Ft/hó,"Budapest II. kerület, Budakeszi út",57 m2,1 + 1 fél,12 m2
118,220 000 Ft/hó,"Budapest IV. kerület, Károlyi István utca 7.",44 m2,2,20 m2
119,1 346 660 Ft/hó,"Budapest II. kerület, Árvácska utca",214 m2,6,8 m2
119,1 115 804 Ft/hó,"Budapest VII. kerület, Dohány utca",108 m2,4,3 m2
119,320 000 Ft/hó,"Budapest IX. kerület, Tóth Kálmán utca",47 m2,2,7 m2
119,769 520 Ft/hó,"Budapest II. kerület, Kurucles",115 m2,3,
119,250 000 Ft/hó,"Budapest XI. kerület, Bicskei utca",39 m2,1,
119,395 000 Ft/hó,"Budapest XIII. kerület, Gergely Győző utca",85 m2,2 + 2 fél,4 m2
119,160 000 Ft/hó,"Budapest I. kerület, Attila út",27 m2,1,
119,210 000 Ft/hó,"Budapest VII. kerület, Damjanich utca",45 m2,1 + 1 fél,
119,175 000 Ft/hó,"Budapest VII. kerület, Nefelejcs utca",27 m2,1,
119,200 000 Ft/hó,"Budapest VII. kerület, Huszár utca",38 m2,1 + 1 fél,
119,215 000 Ft/hó,"Budapest VI. kerület, Jókai utca 1.",32 m2,1,
119,220 000 Ft/hó,"Budapest VII. kerület, Király utca",49 m2,2,
119,245 000 Ft/hó,"Budapest VIII. kerület, Víg utca",32 m2,1,6 m2
119,539 000 Ft/hó,"Budapest XI. kerület, Garda utca",75 m2,2 + 2 fél,15 m2
119,295 000 Ft/hó,"Budapest V. kerület, Bihari János utca",40 m2,2,
119,769 520 Ft/hó,"Budapest II. kerület, Ruszti út",188 m2,6,39 m2
119,230 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",68 m2,3,4 m2
119,480 000 Ft/hó,"Budapest VIII. kerület, Rákóczi út",79 m2,4,
119,490 000 Ft/hó,"Budapest XIII. kerület, Petneházy utca",80 m2,4,8 m2
119,680 000 Ft/hó,"Budapest II. kerület, Lévay utca 5.",100 m2,4,20 m2
120,557 902 Ft/hó,"Budapest VII. kerület, Belső-Erzsébetváros",100 m2,4,2 m2
120,400 000 Ft/hó,"Budapest VI. kerület, Ó utca",63 m2,2,
120,210 000 Ft/hó,"Budapest VI. kerület, Király utca 76.",30 m2,1,
120,1 077 328 Ft/hó,"Budapest II. kerület, Zöldmál",180 m2,5,25 m2
120,230 000 Ft/hó,"Budapest IX. kerület, Toronyház utca",39 m2,1,
120,190 000 Ft/hó,"Budapest VIII. kerület, Illés köz",43 m2,2,3 m2
120,360 000 Ft/hó,"Budapest II. kerület, Margit körút",71 m2,3,3 m2
120,640 000 Ft/hó,"Budapest XI. kerület, Budapart",73 m2,3,17 m2
120,400 000 Ft/hó,"Budapest XI. kerület, Bartók Béla út",100 m2,4,3 m2
120,390 000 Ft/hó,"Budapest VI. kerület, Bajcsy-Zsilinszky köz",120 m2,3,8 m2
120,577 140 Ft/hó,"Budapest XIV. kerület, Istvánmező",80 m2,3,3 m2
120,288 570 Ft/hó,"Budapest VI. kerület, Rózsa utca",50 m2,2,6 m2
120,423 236 Ft/hó,"Budapest V. kerület, Belváros",80 m2,2 + 1 fél,
120,731 044 Ft/hó,"Budapest VI. kerület, Belső-Terézváros",91 m2,3,3 m2
120,245 000 Ft/hó,"Budapest XI. kerület, Sashegy",54 m2,2,4 m2
120,220 000 Ft/hó,"Budapest IX. kerület, Lenhossék utca",31 m2,1,7 m2
120,759 000 Ft/hó,"Budapest II. kerület, Selyemakác utca",110 m2,3 + 1 fél,15 m2
120,1 115 804 Ft/hó,"Budapest II. kerület, Völgy utca",120 m2,4,50 m2
120,450 000 Ft/hó,"Budapest V. kerület, Arany János utca",45 m2,1,
120,461 712 Ft/hó,"Budapest VI. kerület, Király utca",65 m2,2,40 m2
121,260 000 Ft/hó,"Budapest XII. kerület, Kútvölgy",38 m2,2,5 m2
121,1 192 756 Ft/hó,"Budapest II. kerület, Rézmál",120 m2,4,150 m2
121,673 330 Ft/hó,"Budapest II. kerület, Pasarét",83 m2,3,12 m2
121,1 539 040 Ft/hó,"Budapest II. kerület, Páfrány út",200 m2,5,20 m2
121,180 000 Ft/hó,"Budapest XIV. kerület, Uzsoki utca",24 m2,1,
121,349 990 Ft/hó,"Budapest IX. kerület, Lenhossék utca 46.",70 m2,4,
121,450 000 Ft/hó,"Budapest XIII. kerület, Cserhalom utca 6.",66 m2,3,24 m2
121,320 000 Ft/hó,"Budapest XIV. kerület, Fischer István utca",49 m2,2,5 m2
121,634 854 Ft/hó,"Budapest VI. kerület, Eötvös utca",185 m2,4,14 m2
121,330 000 Ft/hó,"Budapest IX. kerület, Márton utca",55 m2,2,5 m2
121,200 000 Ft/hó,"Budapest VI. kerület, Vörösmarty utca",55 m2,1 + 1 fél,
121,270 000 Ft/hó,"Budapest VI. kerület, Podmaniczky utca",46 m2,1 + 1 fél,
121,230 000 Ft/hó,"Budapest XIII. kerület, Kresz Géza utca",44 m2,1,
121,319 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca",50 m2,2,10.54 m2
121,500 188 Ft/hó,"Budapest I. kerület, Dísz tér",86 m2,2,
121,492 493 Ft/hó,"Budapest V. kerület, Arany János utca",140 m2,4,
121,438 000 Ft/hó,"Budapest V. kerület, Váci utca 65.",85 m2,3,
121,1 000 000 Ft/hó,"Budapest XI. kerület, Lágymányos",88 m2,4,20 m2
121,732 968 Ft/hó,"Budapest II. kerület, Selyemakác lakópark",110 m2,3 + 1 fél,12 m2
121,300 000 Ft/hó,"Budapest XIII. kerület, Hegedűs Gyula utca",50 m2,2,18 m2
122,320 000 Ft/hó,"Budapest II. kerület, Szépilona",73 m2,3,10 m2
122,500 188 Ft/hó,"Budapest II. kerület, II/A kerület - Máriaremete",106 m2,4,10 m2
122,800 000 Ft/hó,"Budapest I. kerület, Attila út",79 m2,4,5 m2
122,1 000 376 Ft/hó,"Budapest II. kerület, Törökvész",200 m2,5,10 m2
122,700 000 Ft/hó,"Budapest XII. kerület, Svábhegy",153 m2,4,20 m2
122,327 046 Ft/hó,"Budapest VIII. kerület, Corvin sétány",53 m2,2,10 m2
122,319 900 Ft/hó,"Budapest VII. kerület, Dózsa György út",90 m2,2 + 2 fél,
122,240 000 Ft/hó,"Budapest XIII. kerület, Angyalföldi út",48 m2,1 + 1 fél,3 m2
122,250 000 Ft/hó,"Budapest XIII. kerület, Meder utca",33 m2,1 + 1 fél,8 m2
122,307 808 Ft/hó,"Budapest I. kerület, Hunyadi János út",63 m2,2,
122,380 000 Ft/hó,"Budapest XIII. kerület, Újpesti rakpart",117 m2,3,
122,480 000 Ft/hó,"Budapest XIV. kerület, Bosnyák utca",112 m2,4,16 m2
122,550 000 Ft/hó,"Budapest XI. kerület, Iglói utca",74 m2,2 + 1 fél,8 m2
122,300 000 Ft/hó,"Budapest XIV. kerület, Füredi utca",68 m2,3,2.5 m2
122,423 236 Ft/hó,"Budapest V. kerület, Szép utca 5.",100 m2,3,
122,250 000 Ft/hó,"Budapest III. kerület, Bécsi út",44 m2,2,
122,923 424 Ft/hó,"Budapest VI. kerület, Belső-Terézváros",98 m2,3,
122,2 116 180 Ft/hó,"Budapest V. kerület, Hold utca",267 m2,7,6 m2
122,160 000 Ft/hó,"Budapest VI. kerület, Bajnok utca",32 m2,1,
122,490 000 Ft/hó,"Budapest I. kerület, Krisztina körút",65 m2,2,
123,238 551 Ft/hó,"Budapest V. kerület, Vörösmarty tér 2.",34 m2,1 + 1 fél,
123,270 000 Ft/hó,"Budapest VII. kerület, Szövetség utca 22.",45 m2,2 + 1 fél,
123,846 472 Ft/hó,"Budapest I. kerület, Bem rakpart",95 m2,2,
123,350 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca",75 m2,3,25 m2
123,300 000 Ft/hó,"Budapest I. kerület, Dísz tér",50 m2,1 + 1 fél,
123,330 000 Ft/hó,"Budapest VII. kerület, Erzsébet körút",66 m2,2 + 1 fél,
123,230 000 Ft/hó,"Budapest VI. kerület, Lövölde tér",56 m2,2,
123,200 000 Ft/hó,"Budapest VIII. kerület, Szerdahelyi utca",43 m2,2,3 m2
123,210 000 Ft/hó,"Budapest XI. kerület, Dayka Gábor utca 19.",50 m2,2,5 m2
123,160 000 Ft/hó,"Budapest VIII. kerület, Illés utca",25 m2,1,
123,219 000 Ft/hó,"Budapest VII. kerület, Cserhát utca",48 m2,2,
123,200 000 Ft/hó,"Budapest III. kerület, Uszály utca 12.",44 m2,1 + 1 fél,1.5 m2
123,240 000 Ft/hó,"Budapest XIII. kerület, Kis Gömb utca",41 m2,1,8 m2
123,2 500 000 Ft/hó,"Budapest II. kerület, Vérhalom",140 m2,5,100 m2
123,500 000 Ft/hó,"Budapest IX. kerület, Vaskapu utca",78 m2,3,12 m2
123,1 100 000 Ft/hó,"Budapest XI. kerület, Budapart",110 m2,4,45 m2
123,220 000 Ft/hó,"Budapest XI. kerület, Gombocz Zoltán utca",46 m2,1,15 m2
123,239 000 Ft/hó,"Budapest XI. kerület, Bükköny utca",47 m2,2,
123,280 000 Ft/hó,"Budapest IX. kerület, Erkel utca",42 m2,1,
123,285 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",65 m2,2 + 1 fél,2 m2
124,300 000 Ft/hó,"Budapest IX. kerület, Viola utca",70 m2,3,9 m2
124,450 000 Ft/hó,"Budapest IX. kerület, Knézits utca",54 m2,3,
124,470 000 Ft/hó,"Budapest VI. kerület, Délibáb utca",96 m2,2,
124,410 000 Ft/hó,"Budapest XII. kerület, Kútvölgyi út",105 m2,3 + 1 fél,20 m2
124,1 462 088 Ft/hó,"Budapest XII. kerület, Istenhegy",250 m2,5 + 1 fél,25 m2
124,442 474 Ft/hó,"Budapest I. kerület, Lánchíd utca 23.",98 m2,2,
124,384 760 Ft/hó,"Budapest V. kerület, Bástya utca",81 m2,2 + 1 fél,
124,500 188 Ft/hó,"Budapest V. kerület, Sütő utca",71 m2,3,
124,1 731 420 Ft/hó,"Budapest II. kerület, Pasarét",162 m2,4,44 m2
124,442 474 Ft/hó,"Budapest I. kerület, Lánchíd utca 23.",100 m2,2,
124,350 000 Ft/hó,"Budapest IX. kerület, Lenhossék utca",72 m2,3,6 m2
124,769 520 Ft/hó,"Budapest VII. kerület, Károly körút",100 m2,4,
124,884 948 Ft/hó,"Budapest I. kerület, Lovas út",123 m2,4,8 m2
124,634 854 Ft/hó,"Budapest XI. kerület, Kelenhegyi út 43.",114 m2,3,
124,290 000 Ft/hó,"Budapest V. kerület, Széchenyi utca",63 m2,2,
124,1 077 328 Ft/hó,"Budapest III. kerület, Óbuda-Óváros",144 m2,4,60 m2
124,461 712 Ft/hó,"Budapest VIII. kerület, József körút 9.",68 m2,2,
124,330 000 Ft/hó,"Budapest XIII. kerület, Úszódaru utca",57 m2,2,6.5 m2
124,731 044 Ft/hó,"Budapest VI. kerület, Nagymező utca",91 m2,3,
124,500 188 Ft/hó,"Budapest XII. kerület, Városmajor utca",63 m2,3,
125,4 617 120 Ft/hó,"Budapest VI. kerület, Andrássy út 24.",318 m2,4,30 m2
125,560 000 Ft/hó,"Budapest XIII. kerület, Bulcsú utca 5/A",84 m2,3,18 m2
125,961 900 Ft/hó,"Budapest VI. kerület, Király utca 40.",85 m2,3,30 m2
125,557 902 Ft/hó,"Budapest VII. kerület, Kazinczy utca",72 m2,3,
125,320 000 Ft/hó,"Budapest VIII. kerület, József körút",52 m2,2,
125,884 948 Ft/hó,"Budapest I. kerület, Csalogány utca 43.",93 m2,4,
125,961 900 Ft/hó,"Budapest V. kerület, Balassi Bálint utca 9.",81 m2,3,4 m2
125,480 950 Ft/hó,"Budapest II. kerület, Törökvész",74 m2,2 + 1 fél,11 m2
125,423 236 Ft/hó,"Budapest V. kerület, Múzeum körút",56 m2,1 + 2 fél,
125,577 140 Ft/hó,"Budapest VIII. kerület, Somogyi Béla utca",91 m2,4,
125,290 000 Ft/hó,"Budapest XIII. kerület, Meder utca",50 m2,2,8 m2
125,654 092 Ft/hó,"Budapest V. kerület, Belváros",70 m2,2,70 m2
125,961 900 Ft/hó,"Budapest V. kerület, Kálmán Imre utca",160 m2,2,
125,1 539 040 Ft/hó,"Budapest II. kerület, Páfrány út",230 m2,5,
125,731 044 Ft/hó,"Budapest III. kerület, Táborhegy",260 m2,5,
125,250 000 Ft/hó,"Budapest VII. kerület, Jósika utca",35 m2,1,
125,1 538 655 Ft/hó,"Budapest XIII. kerület, Népfürdő utca 3.",192 m2,7,66 m2
125,1 154 280 Ft/hó,"Budapest V. kerület, Perczel Mór utca",100 m2,3,
125,450 000 Ft/hó,"Budapest VI. kerület, Ó utca",67 m2,2,
125,384 760 Ft/hó,"Budapest VII. kerület, Károly körút",90 m2,2,2 m2
126,280 000 Ft/hó,"Budapest VII. kerület, Akácfa utca 40.",64 m2,3,
126,400 000 Ft/hó,"Budapest XIII. kerület, Pozsonyi út",70 m2,3,
126,950 000 Ft/hó,"Budapest V. kerület, Pilvax köz",100 m2,3,5 m2
126,1 308 184 Ft/hó,"Budapest XII. kerület, Németvölgy",139 m2,4,14 m2
126,390 000 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros",55 m2,2,50 m2
126,538 664 Ft/hó,"Budapest XII. kerület, Tündérkert utca",68 m2,2,
126,1 115 804 Ft/hó,"Budapest XII. kerület, Tündérkert utca",150 m2,4,
126,200 000 Ft/hó,"Budapest XI. kerület, Etele út",52 m2,2,
126,423 236 Ft/hó,"Budapest V. kerület, Hercegprímás utca",95 m2,3,
126,280 000 Ft/hó,"Budapest V. kerület, Vadász utca 42.",56 m2,2,
126,461 712 Ft/hó,"Budapest VI. kerület, Andrássy út",100 m2,3,
126,230 000 Ft/hó,"Budapest IX. kerület, Ráday utca",42 m2,2,3 m2
126,270 000 Ft/hó,"Budapest IX. kerület, Viola utca",54 m2,2,5 m2
126,307 423 Ft/hó,"Budapest VI. kerület, Szinyei Merse utca",65 m2,2,
126,461 712 Ft/hó,"Budapest XIII. kerület, Újlipótváros",68 m2,3,9 m2
126,850 000 Ft/hó,"Budapest III. kerület, Királyok útja 225.",96 m2,4,35 m2
126,300 000 Ft/hó,"Budapest VI. kerület, Szinyei Merse utca",58 m2,2,
126,870 000 Ft/hó,"Budapest III. kerület, Folyondár utca",120 m2,4,14 m2
126,265 000 Ft/hó,"Budapest VIII. kerület, József körút",65 m2,2 + 1 fél,
126,804 148 Ft/hó,"Budapest II. kerület, Csibor utca",120 m2,4,15 m2
127,280 000 Ft/hó,"Budapest VII. kerület, Dohány utca",48 m2,2,3 m2
127,320 000 Ft/hó,"Budapest XII. kerület, Csipke út",45 m2,2,5 m2
127,1 539 040 Ft/hó,"Budapest II. kerület, Lipótmező",152 m2,5,60 m2
127,769 520 Ft/hó,"Budapest XII. kerület, Kissvábhegy",117 m2,4,12 m2
127,250 000 Ft/hó,"Budapest VII. kerület, Madách Imre út 2-6.",52 m2,2,
127,250 000 Ft/hó,"Budapest VII. kerület, Madách Imre út 2-6.",52 m2,2,
127,175 000 Ft/hó,"Budapest VIII. kerület, József körút",20 m2,1,
127,320 000 Ft/hó,"Budapest VI. kerület, Lovag utca",61 m2,3,
127,450 000 Ft/hó,"Budapest II. kerület, Szemlőhegy",75 m2,3,20 m2
127,692 568 Ft/hó,"Budapest VI. kerület, Paulay Ede utca",107 m2,4,
127,1 423 612 Ft/hó,"Budapest XII. kerület, Mártonhegyi út",136 m2,5,8 m2
127,350 000 Ft/hó,"Budapest XXII. kerület, Gádor utca",92 m2,3,11 m2
127,400 000 Ft/hó,"Budapest XXII. kerület, Gádor utca",83 m2,3,40 m2
127,200 000 Ft/hó,"Budapest VII. kerület, Belső-Erzsébetváros",31 m2,1,2 m2
127,327 046 Ft/hó,"Budapest VI. kerület, Andrássy út 55.",40 m2,1 + 1 fél,
